Id,Label
1,SK텔레콤
2,과학기술정보통신부
3,충청권
4,융합보안대학원
5,KT
6,Sk
7,WSCE
8,과학기술정보통신부(
9,국토교통부
10,대한항공
11,도심항공교통
12,벡스코
13,부산
14,엘사
15,정부
16,케이티
17,케이티(KT)
18,한국수자원공사
19,와 과학기술정보통신
20,KISA
21,경남테크노파크
22,경상남도
23,과기정통부
24,부산대
25,부산정보산업진흥원
26,부산정보산업진흥원장
27,울산정보산업진흥원
28,융합대학원
29,한국선급
30,한국인터넷진흥원(
31,대학
32,부산시
33,도심항공
34,사무
35,국토교통부·과학기술정보통신부
36,대전정보문화산업진흥원
37,세종테크노파크
38,이노베이션스퀘어
39,정보통신
40,정보화담당관
41,충남테크노파크
42,충북과학기술혁신원
43,교통항만수산국장
44,군산시
45,BMW
46,구글
47,국가정보원
48,국토지리정보원
49,벤츠
50,애플
51,한국
52,Google
53,행정부
54,남북
55,도시통합센터
56,교통정보센터
57,자원
58,ITS
59,수원 ITS
60,수원컨벤션센터
61,아태총회
62,조직위원회
63,한창
64,도시안전통합센터
65,대한민국
66,상담회
67,수원시
68,스마트시티
69,세종SB플라자
70,정보보호네트워크정책관
71,한국인터넷진흥원(KISA)
72,공간정보품질관리원
73,영종도
74,인천시
75,인천경제청
76,과기부
77,미래전략
78,세종시
79,인천경제자유구역청
80,전국대회
81,경제부시장
82,산학협력
83,충남도청
84,충남도
85,동남권
86,아시아투데이
87,평가위
88,ICAO
89,공간정보혁신센터
90,교통부
91,국제민간항공기구
92,국토교통
93,국토부
94,보건부
95,키헨질레
96,한국철도공사
97,제일엔지니어링
98,한국인터넷진흥원
99,정보보
100,공공
101,잔지바르
102,코레일
103,토지주택개발부
104,하피드
105,공공사업부
106,신흥
107,탄자니아
108,동서
109,adm
110,app
111,cu
112,eac
113,un
114,wi
115,cha
116,fina
117,세종청사
118,수주지
119,이사
120,도화엔지니어링
121,수주지원단
122,진현환
123,철도공단
124,중동
125,연합뉴스
126,인천광역시
127,전주시
128,부산상공회의소
129,사상공단
130,사상기업발전협의회
131,사상스마트시티
132,부산상의
133,서부산청사
134,부산경제진흥원
135,CIC
136,Living
137,고양도시관리공사
138,고양산업진흥원
139,고양시
140,씨엠스튜디오
141,엘마인즈
142,일산동부경찰서
143,진흥원
144,City Living
145,iss
146,사상구
147,사상구청
148,IoT
149,수원특례시
150,수원
151,사상스마트
152,광주
153,더불어민주당
154,민주당
155,전남
156,전남도
157,국립의대
158,목포대
159,의대
160,국민의힘
161,국회
162,보건복지위원회
163,인수위
164,보건복지부
165,목포대학교
166,순천대
167,전북자치도
168,수원시청
169,스포츠서울
170,FDI
171,대우
172,베트남
173,한국토지주택공사(LH)
174,건설부
175,대표
176,한국대사
