Id,Label
1,대한상공회의소
2,도시정부
3,서울
4,서울디지털재단
5,서울시
6,어디나지원단
7,오늘
8,LG
9,연합뉴스
10,아시아투데이
11,인턴
12,베트남
13,중소벤처기업부
14,경기연구원
15,서울시의회
16,국토교통부
17,비씨디이엔씨
18,스마트시티
19,양주시
20,CES
21,인천경제자유구역청
22,인천경제청
23,대한상의서
24,GWIST
25,SOC
26,강원랜드
27,국민의힘
28,동서고속
29,춘천교도소
30,KT
31,수원 ITS
32,수원컨벤션센터
33,아태총회
34,㈜비씨디이엔씨
35,국토부
36,딜로이트
37,스마트시티 이니셔티브
38,신흥국
39,엔비디아
40,한국딜로이트그룹
41,양양
42,원주
43,정책총괄본부
44,평창
45,국제대
46,한국
47,유일
48,인천
49,ITS
50,MBTI
51,UA
52,경기도무용단
53,경기시나위오케스트라
54,경부선
55,광교호수공원
56,도시안전통합센터
57,수원
58,수원시
59,수원시립합창단
60,조직위원회
61,진우에이티에스
62,한국도로공사
63,ECC
64,KCA
65,Kp
66,KpqC 공모전
67,LG유플러스
68,NIA
69,NIST
70,TTA
71,국립표준기술연구소(NIST
72,정부
73,주엄개
74,한국방송통신전파진흥원(
75,한국인터넷진흥원(KISA)
76,한국정보통신기술협회
77,한국정보통신기술협회(TTA)
78,한국지능정보사회진흥원
79,한국지능정보사회진흥원(
80,CES 2026
81,Consumer Electronics Show
82,Expo
83,LVCC
84,대전
85,대전시의회
86,민주당
87,송도
88,의회
89,아주대학교
90,광명
91,교육지원청
92,도시개발
93,삼성
94,광주
95,현대
96,평택
97,화성
98,수원시수원
99,TSMC
100,국가과학기술위원회
101,대만
102,폭스콘
103,소프트뱅크
104,테슬라
105,SK그룹
106,SK하이닉스
107,젠슨
108,젠슨 황
109,HBM4
110,미디어텍
111,하이닉스
112,YTN
113,수원특례시
114,미래산업
115,SoC
116,정보통신
117,애플
118,에이수스
119,기아
120,현대차
121,현대차·
122,현대차·기아
123,NATO
124,러시아
125,북대서양조약기구
126,우크라이나
127,행정부
128,동부
129,디와이디
130,삼부토건
131,강릉
132,강릉시
133,교통부
134,드론쇼
135,삼성디스플레이
136,딥엑스
137,LG유플
138,소트랩
139,LGU+
140,한국정보통신기술협회(
141,KISA
142,한국방송통신전파진흥원
143,Wi
144,app
145,fina
146,un
147,wi
148,NI
149,cha
150,cu
151,dri
152,eac
153,the
154,fed
155,강원도
156,CTA
157,IFEZ 홍보관
158,미국소비자기술협회
159,국립표준기술연구소
160,표준기술연구소
161,네옴시
162,네옴시티
163,사우디
164,삼성물산
165,해외건설협회
166,중동 지역
167,현대건설
168,시공사
169,IMD
170,국제경영개발원
171,한창
172,SCMP
173,중국
174,화웨이
175,구글
176,명문대
177,충남도
178,노벨상
179,셀트리온
180,제주도
181,SMR
182,SSNC
183,한수원
184,국회
185,대한민국
186,세울
187,IGC
188,IGC운영재단
189,겐트대 글로벌캠퍼스
190,마린유겐트연구소
191,유타대 아시아캠퍼스
192,한국뉴욕주립대
193,한국스탠포드센터
194,아세테크
195,유니콘팩토리
196,트위니
197,MOU
198,인프라부
199,한국건설기술연구원
200,한동대학교
201,한국건설기술연구원(KICT)
202,부산
203,부산창조경제혁신센터
204,APEC
205,ITF
206,OECD
207,경제협력개발기구
208,국제교통포럼
209,아시아태평양경제협력체
210,지역개발정책위원회
211,정책위원회
212,유상증자
213,이에이트
214,픽스포디
215,NFL
216,PIX4D
217,타깃
218,리서치
219,부산광역시
220,부산창경
221,경찰청
222,기초지자체
223,영국
224,경제일자리국
225,기획경제국
226,기획소통국
227,의정부시
228,건설부
229,삼정KPMG
230,자원
231,중앙아시아
232,한국경제신문
233,현대그룹
234,의장
235,케이패스
236,웨스틴
237,조선호텔
238,회의서
239,IoT
240,이노비즈
241,조달청
242,교원
243,진로
244,세종교육청
245,세종시교육청
246,진로교육원
247,K-패스
248,미국
249,백악관
250,석유화학
251,이스라엘
252,이란
253,하마스
254,헤즈볼라
255,장관회
256,폴란드
257,홍주초등학교
258,국토교통
259,기금지역정책부
260,삼성전자
261,인천시
262,삼성바이오로직스
263,판교
264,2030
265,경민대
266,경민대학교
